user_id,user_email,user_pw,user_name,user_tel,reg_date,user_point,writer_flag
1,writer1@gmail.com,1001,초코써니수제청수제과일청,01010000001,2021-02-19,0,True
2,writer2@gmail.com,1002,소블링커피,01010000002,2021-02-19,0,True
3,writer3@gmail.com,1003,포시즌테이블,01010000003,2021-02-19,0,True
4,writer4@gmail.com,1004,엘리펀트커피랩,01010000004,2021-02-19,0,True
5,writer5@gmail.com,1005,그:때커피,01010000005,2021-02-19,0,True
6,writer6@gmail.com,1006,꼬숩네,01010000006,2021-02-19,0,True
7,writer7@gmail.com,1007,순수꽃차,01010000007,2021-02-19,0,True
8,writer8@gmail.com,1008,다솔_건강한맛을담다,01010000008,2021-02-19,0,True
9,writer9@gmail.com,1009,포시즌테이블,01010000009,2021-02-19,0,True
10,writer10@gmail.com,1010,소블링커피,01010000010,2021-02-19,0,True
11,writer11@gmail.com,1011,수제청청이,01010000011,2021-02-19,0,True
12,writer12@gmail.com,1012,보르딘,01010000012,2021-02-19,0,True
13,writer13@gmail.com,1013,마이더치커피,01010000013,2021-02-19,0,True
14,writer14@gmail.com,1014,딸기엄마양파아빠,01010000014,2021-02-19,0,True
15,writer15@gmail.com,1015,달달지다,01010000015,2021-02-19,0,True
16,writer16@gmail.com,1016,빈스스콘,01010000016,2021-02-19,0,True
17,writer17@gmail.com,1017,2대가함께하는창원생과방,01010000017,2021-02-19,0,True
18,writer18@gmail.com,1018,👊두남자의식탐👊,01010000018,2021-02-19,0,True
19,writer19@gmail.com,1019,새싹발아통밀빵..아르토스,01010000019,2021-02-19,0,True
20,writer20@gmail.com,1020,"""마다""",01010000020,2021-02-19,0,True
21,writer21@gmail.com,1021,맘대롱스튜디오,01010000021,2021-02-19,0,True
22,writer22@gmail.com,1022,카페다홍,01010000022,2021-02-19,0,True
23,writer23@gmail.com,1023,김보람초콜릿,01010000023,2021-02-19,0,True
24,writer24@gmail.com,1024,달콤공간,01010000024,2021-02-19,0,True
25,writer25@gmail.com,1025,디디얌,01010000025,2021-02-19,0,True
26,writer26@gmail.com,1026,잇쉬와잇샤의수제초콜릿,01010000026,2021-02-19,0,True
27,writer27@gmail.com,1027,달콤잼잼dalcomjamjam,01010000027,2021-02-19,0,True
28,writer28@gmail.com,1028,시루아네,01010000028,2021-02-19,0,True
29,writer29@gmail.com,1029,샐러드채소주은농장,01010000029,2021-02-19,0,True
30,writer30@gmail.com,1030,선물정육점(고기셰프윤주민과청년들),01010000030,2021-02-19,0,True
31,writer31@gmail.com,1031,삼남매고깃간,01010000031,2021-02-19,0,True
32,writer32@gmail.com,1032,👊두남자의식탐👊,01010000032,2021-02-19,0,True
33,writer33@gmail.com,1033,충남논산나나팜,01010000033,2021-02-19,0,True
34,writer34@gmail.com,1034,샐러드채소주은농장,01010000034,2021-02-19,0,True
35,writer35@gmail.com,1035,심명진민물장어,01010000035,2021-02-19,0,True
36,writer36@gmail.com,1036,박판호순천한우,01010000036,2021-02-19,0,True
37,writer37@gmail.com,1037,선물정육점(고기셰프윤주민과청년들),01010000037,2021-02-19,0,True
38,writer38@gmail.com,1038,고급유럽채소더드림농장,01010000038,2021-02-19,0,True
39,writer39@gmail.com,1039,농장지기황종운,01010000039,2021-02-19,0,True
40,writer40@gmail.com,1040,전남장흥무태장어,01010000040,2021-02-19,0,True
41,writer41@gmail.com,1041,농장지기황종운,01010000041,2021-02-19,0,True
42,writer42@gmail.com,1042,선물정육점(고기셰프윤주민과청년들),01010000042,2021-02-19,0,True
43,writer43@gmail.com,1043,가율박민셰프,01010000043,2021-02-19,0,True
44,writer44@gmail.com,1044,박창주,01010000044,2021-02-19,0,True
45,writer45@gmail.com,1045,정안일미한우국밥,01010000045,2021-02-19,0,True
46,writer46@gmail.com,1046,💖빙고씨푸드마스터셰프이슬👨\u200d반찬,01010000046,2021-02-19,0,True
47,writer47@gmail.com,1047,라파지블,01010000047,2021-02-19,0,True
48,writer48@gmail.com,1048,가율박민셰프,01010000048,2021-02-19,0,True
49,writer49@gmail.com,1049,3대를이어온농장(의성부자농장)반찬김치,01010000049,2021-02-19,0,True
50,writer50@gmail.com,1050,박우연셰프(셰프애찬),01010000050,2021-02-19,0,True
51,writer51@gmail.com,1051,3대를이어온농장(의성부자농장)반찬김치,01010000051,2021-02-19,0,True
52,writer52@gmail.com,1052,3대를이어온농장(의성부자농장)반찬김치,01010000052,2021-02-19,0,True
